code barre 1 ou bien Qr code  article,code barre 2 ou bien Qr code article,code Article  OF,code article résumé,gamme,designation,qte unit,qte reg,redondance,controle
QR code siame,null,FSB1060C0027,602C3X50,EP60,3X50A,0,4,0,c
QR code siame,null,FSB1060C0028,602C4X50,EP60,4X50A,0,3,0,c
QR code siame,null,FSB1060C0029,602C1X63,EP60,1X63A,0,12,0,c
QR code siame,null,FSB1060C0030,602C2X63,EP60,2X63A,0,6,0,c
QR code siame,null,FSB1060C0031,602C3X63,EP60,3X63A,0,4,0,c
QR code siame,null,FSB1060C0032,602C4X63,EP60,4X63A,0,3,0,c
QR code siame,null,FSB1060C0040,602C3X25MS,EP60,3X25A,0,4,0,c
QR code siame,null,FSB1060C0041,60C4X20MS,EP60,4X20A,0,3,0,c
QR code siame,null,FSB1060C0042,602C4X50MS,EP60,4X50A,0,3,0,c
QR code siame,null,FSB1060C0043,602C4X63MS,EP60,4X63A,0,3,0,c
QR code siame,null,FSB1060C0044,602C3X63MS,EP60,3X63A,0,4,0,c
QR code siame,null,FSB1060C0045,602C3X20MS,EP60,3X20A,0,4,0,c
QR code siame,null,FSB1060C0046,602C4X32MS,EP60,4X32A,0,3,0,c
QR code siame,null,FSB1060C0047,602C4X25MS,EP60,4X25A,0,3,0,c
QR code siame,null,FSB1060C0048,602C4X16MS,EP60,4X16A,0,3,0,c
