code,resume,gamme,des,qte_u,qte_reg,des,contrôle
FD30SB1C0003,902C2X16,EP60 300mA,2X16A,1,3,Disjoncteur Diff. 2X16A EP60 6KA CC 4M 300mA,c
FD30SB1C0004,902C4X16,EP60 300mA,4X16A,1,2,Disjoncteur Diff. 4X16A EP60 6KA CC 6M 300mA,c
FD30SB1C0005,902C2X20,EP60 300mA,2X20A,1,3,Disjoncteur Diff. 2X20A EP60 6KA CC 4M 300mA,c
FD30SB1C0006,902C4X20,EP60 300mA,4X20A,1,2,Disjoncteur Diff. 4X20A EP60 6KA CC 6M 300mA,c
FD30SB1C0007,902C2X25,EP60 300mA,2X25A,1,3,Disjoncteur Diff. 2X25A EP60 6KA CC 4M 300mA,c
FD30SB1C0008,902C4X25,EP60 300mA,4X25A,1,2,Disjoncteur Diff. 4X25A EP60 6KA CC 6M 300mA,c
FD30SB1C0009,902C2X32,EP60 300mA,2X32A,1,3,Disjoncteur Diff. 2X32A EP60 6KA CC 4M 300mA,c
FD30SB1C0010,902C4X32,EP60 300mA,4X32A,1,2,Disjoncteur Diff. 4X32A EP60 6KA CC 6M 300mA,c
FD30SB1C0011,902C2X40,EP60 300mA,2X40A,1,3,Disjoncteur Diff. 2X40A EP60 6KA CC 4M 300mA,c
FD30SB1C0012,902C4X40,EP60 300mA,4X40A,1,1,Disjoncteur Diff. 4X40A EP60 6KA CC 8M 300mA,c
FD30SB1C0013,902C2X50,EP60 300mA,2X50A,1,3,Disjoncteur Diff. 2X50A EP60 6KA CC 4M 300mA,c
FD30SB1C0014,902C4X50,EP60 300mA,4X50A,1,1,Disjoncteur Diff. 4X50A EP60 6KA CC 8M 300mA,c
FD30SB1C0015,902C2X63,EP60 300mA,2X63A,1,3,Disjoncteur Diff. 2X63A EP60 6KA CC 4M 300mA,c
FD30SB1C0016,902C4X63,EP60 300mA,4X63A,1,1,Disjoncteur Diff. 4X63A EP60 6KA CC 8M 300mA,c
FD30SB1D0001,902D2X10,EP60 300mA,2X10A,1,3,Disjoncteur Diff. 2X10A EP60 06KA CD 4M 300mA,c
FD30SB1D0002,902D4X10,EP60 300mA,4X10A,1,2,Disjoncteur Diff. 4X10A EP60 06KA CD 6M 300mA,c
FD30SB1D0003,902D2X16,EP60 300mA,2X16A,1,3,Disjoncteur Diff. 2X16A EP60 06KA CD 4M 300mA,c
FD30SB1D0004,902D4X16,EP60 300mA,4X16A,1,2,Disjoncteur Diff. 4X16A EP60 06KA CD 6M 300mA,c
FD30SB1D0005,902D2X20,EP60 300mA,2X20A,1,3,Disjoncteur Diff. 2X20A EP60 06KA CD 4M 300mA,c
FD30SB1D0006,902D4X20,EP60 300mA,4X20A,1,2,Disjoncteur Diff. 4X20A EP60 06KA CD 6M 300mA,c
FD30SB1D0007,902D2X25,EP60 300mA,2X25A,1,3,Disjoncteur Diff. 2X25A EP60 06KA CD 4M 300mA,c
FD30SB1D0008,902D4X25,EP60 300mA,4X25A,1,2,Disjoncteur Diff. 4X25A EP60 06KA CD 6M 300mA,c
FD30SB1D0009,902D2X32,EP60 300mA,2X32A,1,3,Disjoncteur Diff. 2X32A EP60 06KA CD 4M 300mA,c
FD30SB1D0010,902D4X32,EP60 300mA,4X32A,1,2,Disjoncteur Diff. 4X32A EP60 06KA CD 6M 300mA,c
FD30SB1D0011,902D2X40,EP60 300mA,2X40A,1,3,Disjoncteur Diff. 2X40A EP60 06KA CD 4M 300mA,c
FD30SB1D0012,902D4X40,EP60 300mA,4X40A,1,1,Disjoncteur Diff. 4X40A EP60 06KA CD 8M 300mA,c
FD30SB1D0013,902D2X50,EP60 300mA,2X50A,1,3,Disjoncteur Diff. 2X50A EP60 06KA CD 4M 300mA,c
FD30SB1D0014,902D4X50,EP60 300mA,4X50A,1,1,Disjoncteur Diff. 4X50A EP60 06KA CD 8M 300mA,c
FD30SB1D0015,902D2X63,EP60 300mA,2X63A,1,3,Disjoncteur Diff. 2X63A EP60 06KA CD 4M 300mA,c
FD30SB1D0016,902D4X63,EP60 300mA,4X63A,1,1,Disjoncteur Diff. 4X63A EP60 06KA CD 8M 300mA,c
FD30SB2C0001,903C2X10,EP100 300mA,2X10A,1,3,Disjoncteur Diff. 2X10A EP100 10KA CC 4M 300mA,c
FD30SB2C0002,903C4X10,EP100 300mA,4X10A,1,2,Disjoncteur Diff. 4X10A EP100 10KA CC 6M 300mA,c
FD30SB2C0003,903C2X16,EP100 300mA,2X16A,1,3,Disjoncteur Diff. 2X16A EP100 10KA CC 4M 300mA,c
FD30SB2C0004,903C4X16,EP100 300mA,4X16A,1,2,Disjoncteur Diff. 4X16A EP100 10KA CC 6M 300mA,c
FD30SB2C0005,903C2X20,EP100 300mA,2X20A,1,3,Disjoncteur Diff. 2X20A EP100 10KA CC 4M 300mA,c
FD30SB2C0006,903C4X20,EP100 300mA,4X20A,1,2,Disjoncteur Diff. 4X20A EP100 10KA CC 6M 300mA,c
FD30SB2C0007,903C2X25,EP100 300mA,2X25A,1,3,Disjoncteur Diff. 2X25A EP100 10KA CC 4M 300mA,c
FD30SB2C0008,903C4X25,EP100 300mA,4X25A,1,2,Disjoncteur Diff. 4X25A EP100 10KA CC 6M 300mA,c
FD30SB2C0009,903C2X32,EP100 300mA,2X32A,1,3,Disjoncteur Diff. 2X32A EP100 10KA CC 4M 300mA,c
FD30SB2C0010,903C4X32,EP100 300mA,4X32A,1,2,Disjoncteur Diff. 4X32A EP100 10KA CC 6M 300mA,c
FD30SB2C0011,903C2X40,EP100 300mA,2X40A,1,3,Disjoncteur Diff. 2X40A EP100 10KA CC 4M 300mA,c
